supplier_id,supplier_name,branch_id,postcode,branch_notes,specialism_name
1,Jewson,1,SE11 4LT,,Aggregates
1,Jewson,1,SE11 4LT,,Blocks
1,Jewson,1,SE11 4LT,,Bricks
1,Jewson,1,SE11 4LT,,Building Chemicals
1,Jewson,1,SE11 4LT,,Cement
1,Jewson,1,SE11 4LT,,Cladding
1,Jewson,1,SE11 4LT,,Concrete 
1,Jewson,1,SE11 4LT,,Doors
1,Jewson,1,SE11 4LT,,Drainage
1,Jewson,1,SE11 4LT,,Fencing
1,Jewson,1,SE11 4LT,,Fire Boards
1,Jewson,1,SE11 4LT,,Flag & Kerb
1,Jewson,1,SE11 4LT,,Foundation
1,Jewson,1,SE11 4LT,,Insulation
1,Jewson,1,SE11 4LT,,Landscaping
1,Jewson,1,SE11 4LT,,Lintels
1,Jewson,1,SE11 4LT,,Metal Stud
1,Jewson,1,SE11 4LT,,Metalwork
1,Jewson,1,SE11 4LT,,Panel Products
1,Jewson,1,SE11 4LT,,Paving
1,Jewson,1,SE11 4LT,,Plaster
1,Jewson,1,SE11 4LT,,Roofing
1,Jewson,1,SE11 4LT,,Roofline
1,Jewson,1,SE11 4LT,,Sealants
1,Jewson,1,SE11 4LT,,Timber
1,Jewson,1,SE11 4LT,,Wallboard
1,Jewson,1,SE11 4LT,,Joinery - Flooring
1,Jewson,2,NW1 9QB,,Aggregates
1,Jewson,2,NW1 9QB,,Blocks
1,Jewson,2,NW1 9QB,,Bricks
1,Jewson,2,NW1 9QB,,Building Chemicals
1,Jewson,2,NW1 9QB,,Cement
1,Jewson,2,NW1 9QB,,Cladding
1,Jewson,2,NW1 9QB,,Concrete 
1,Jewson,2,NW1 9QB,,Doors
1,Jewson,2,NW1 9QB,,Drainage
1,Jewson,2,NW1 9QB,,Fencing
1,Jewson,2,NW1 9QB,,Fire Boards
1,Jewson,2,NW1 9QB,,Flag & Kerb
1,Jewson,2,NW1 9QB,,Foundation
1,Jewson,2,NW1 9QB,,Insulation
1,Jewson,2,NW1 9QB,,Landscaping
1,Jewson,2,NW1 9QB,,Lintels
1,Jewson,2,NW1 9QB,,Metal Stud
1,Jewson,2,NW1 9QB,,Metalwork
1,Jewson,2,NW1 9QB,,Panel Products
1,Jewson,2,NW1 9QB,,Paving
1,Jewson,2,NW1 9QB,,Plaster
1,Jewson,2,NW1 9QB,,Roofing
1,Jewson,2,NW1 9QB,,Roofline
1,Jewson,2,NW1 9QB,,Sealants
1,Jewson,2,NW1 9QB,,Timber
1,Jewson,2,NW1 9QB,,Wallboard
1,Jewson,2,NW1 9QB,,Joinery - Flooring
1,Jewson,3,SW11 3RP,,Aggregates
1,Jewson,3,SW11 3RP,,Blocks
1,Jewson,3,SW11 3RP,,Bricks
1,Jewson,3,SW11 3RP,,Building Chemicals
1,Jewson,3,SW11 3RP,,Cement
1,Jewson,3,SW11 3RP,,Cladding
1,Jewson,3,SW11 3RP,,Concrete 
1,Jewson,3,SW11 3RP,,Doors
1,Jewson,3,SW11 3RP,,Drainage
1,Jewson,3,SW11 3RP,,Fencing
1,Jewson,3,SW11 3RP,,Fire Boards
1,Jewson,3,SW11 3RP,,Flag & Kerb
1,Jewson,3,SW11 3RP,,Foundation
1,Jewson,3,SW11 3RP,,Insulation
1,Jewson,3,SW11 3RP,,Landscaping
1,Jewson,3,SW11 3RP,,Lintels
1,Jewson,3,SW11 3RP,,Metal Stud
1,Jewson,3,SW11 3RP,,Metalwork
1,Jewson,3,SW11 3RP,,Panel Products
1,Jewson,3,SW11 3RP,,Paving
1,Jewson,3,SW11 3RP,,Plaster
1,Jewson,3,SW11 3RP,,Roofing
1,Jewson,3,SW11 3RP,,Roofline
1,Jewson,3,SW11 3RP,,Sealants
1,Jewson,3,SW11 3RP,,Timber
1,Jewson,3,SW11 3RP,,Wallboard
1,Jewson,3,SW11 3RP,,Joinery - Flooring
1,Jewson,4,SE22 8WW,,Aggregates
1,Jewson,4,SE22 8WW,,Blocks
1,Jewson,4,SE22 8WW,,Bricks
1,Jewson,4,SE22 8WW,,Building Chemicals
1,Jewson,4,SE22 8WW,,Cement
1,Jewson,4,SE22 8WW,,Cladding
1,Jewson,4,SE22 8WW,,Concrete 
1,Jewson,4,SE22 8WW,,Doors
1,Jewson,4,SE22 8WW,,Drainage
1,Jewson,4,SE22 8WW,,Fencing
1,Jewson,4,SE22 8WW,,Fire Boards
1,Jewson,4,SE22 8WW,,Flag & Kerb
1,Jewson,4,SE22 8WW,,Foundation
1,Jewson,4,SE22 8WW,,Insulation
1,Jewson,4,SE22 8WW,,Landscaping
1,Jewson,4,SE22 8WW,,Lintels
1,Jewson,4,SE22 8WW,,Metal Stud
1,Jewson,4,SE22 8WW,,Metalwork
1,Jewson,4,SE22 8WW,,Panel Products
1,Jewson,4,SE22 8WW,,Paving
1,Jewson,4,SE22 8WW,,Plaster
1,Jewson,4,SE22 8WW,,Roofing
1,Jewson,4,SE22 8WW,,Roofline
1,Jewson,4,SE22 8WW,,Sealants
1,Jewson,4,SE22 8WW,,Timber
1,Jewson,4,SE22 8WW,,Wallboard
1,Jewson,4,SE22 8WW,,Joinery - Flooring
1,Jewson,5,W6 7PS,,Aggregates
1,Jewson,5,W6 7PS,,Blocks
1,Jewson,5,W6 7PS,,Bricks
1,Jewson,5,W6 7PS,,Building Chemicals
1,Jewson,5,W6 7PS,,Cement
1,Jewson,5,W6 7PS,,Cladding
1,Jewson,5,W6 7PS,,Concrete 
1,Jewson,5,W6 7PS,,Doors
1,Jewson,5,W6 7PS,,Drainage
1,Jewson,5,W6 7PS,,Fencing
1,Jewson,5,W6 7PS,,Fire Boards
1,Jewson,5,W6 7PS,,Flag & Kerb
1,Jewson,5,W6 7PS,,Foundation
1,Jewson,5,W6 7PS,,Insulation
1,Jewson,5,W6 7PS,,Landscaping
1,Jewson,5,W6 7PS,,Lintels
1,Jewson,5,W6 7PS,,Metal Stud
1,Jewson,5,W6 7PS,,Metalwork
1,Jewson,5,W6 7PS,,Panel Products
1,Jewson,5,W6 7PS,,Paving
1,Jewson,5,W6 7PS,,Plaster
1,Jewson,5,W6 7PS,,Roofing
1,Jewson,5,W6 7PS,,Roofline
1,Jewson,5,W6 7PS,,Sealants
1,Jewson,5,W6 7PS,,Timber
1,Jewson,5,W6 7PS,,Wallboard
1,Jewson,5,W6 7PS,,Joinery - Flooring
1,Jewson,6,N4 1RD,,Aggregates
1,Jewson,6,N4 1RD,,Blocks
1,Jewson,6,N4 1RD,,Bricks
1,Jewson,6,N4 1RD,,Building Chemicals
1,Jewson,6,N4 1RD,,Cement
1,Jewson,6,N4 1RD,,Cladding
1,Jewson,6,N4 1RD,,Concrete 
1,Jewson,6,N4 1RD,,Doors
1,Jewson,6,N4 1RD,,Drainage
1,Jewson,6,N4 1RD,,Fencing
1,Jewson,6,N4 1RD,,Fire Boards
1,Jewson,6,N4 1RD,,Flag & Kerb
1,Jewson,6,N4 1RD,,Foundation
1,Jewson,6,N4 1RD,,Insulation
1,Jewson,6,N4 1RD,,Landscaping
1,Jewson,6,N4 1RD,,Lintels
1,Jewson,6,N4 1RD,,Metal Stud
1,Jewson,6,N4 1RD,,Metalwork
1,Jewson,6,N4 1RD,,Panel Products
1,Jewson,6,N4 1RD,,Paving
1,Jewson,6,N4 1RD,,Plaster
1,Jewson,6,N4 1RD,,Roofing
1,Jewson,6,N4 1RD,,Roofline
1,Jewson,6,N4 1RD,,Sealants
1,Jewson,6,N4 1RD,,Timber
1,Jewson,6,N4 1RD,,Wallboard
1,Jewson,6,N4 1RD,,Joinery - Flooring
1,Jewson,7,E3 2TB,,Aggregates
1,Jewson,7,E3 2TB,,Blocks
1,Jewson,7,E3 2TB,,Bricks
1,Jewson,7,E3 2TB,,Building Chemicals
1,Jewson,7,E3 2TB,,Cement
1,Jewson,7,E3 2TB,,Cladding
1,Jewson,7,E3 2TB,,Concrete 
1,Jewson,7,E3 2TB,,Doors
1,Jewson,7,E3 2TB,,Drainage
1,Jewson,7,E3 2TB,,Fencing
1,Jewson,7,E3 2TB,,Fire Boards
1,Jewson,7,E3 2TB,,Flag & Kerb
1,Jewson,7,E3 2TB,,Foundation
1,Jewson,7,E3 2TB,,Insulation
1,Jewson,7,E3 2TB,,Landscaping
1,Jewson,7,E3 2TB,,Lintels
1,Jewson,7,E3 2TB,,Metal Stud
1,Jewson,7,E3 2TB,,Metalwork
1,Jewson,7,E3 2TB,,Panel Products
1,Jewson,7,E3 2TB,,Paving
1,Jewson,7,E3 2TB,,Plaster
1,Jewson,7,E3 2TB,,Roofing
1,Jewson,7,E3 2TB,,Roofline
1,Jewson,7,E3 2TB,,Sealants
1,Jewson,7,E3 2TB,,Timber
1,Jewson,7,E3 2TB,,Wallboard
1,Jewson,7,E3 2TB,,Joinery - Flooring
1,Jewson,8,N6 4JD,,Aggregates
1,Jewson,8,N6 4JD,,Blocks
1,Jewson,8,N6 4JD,,Bricks
1,Jewson,8,N6 4JD,,Building Chemicals
1,Jewson,8,N6 4JD,,Cement
1,Jewson,8,N6 4JD,,Cladding
1,Jewson,8,N6 4JD,,Concrete 
1,Jewson,8,N6 4JD,,Doors
1,Jewson,8,N6 4JD,,Drainage
1,Jewson,8,N6 4JD,,Fencing
1,Jewson,8,N6 4JD,,Fire Boards
1,Jewson,8,N6 4JD,,Flag & Kerb
1,Jewson,8,N6 4JD,,Foundation
1,Jewson,8,N6 4JD,,Insulation
1,Jewson,8,N6 4JD,,Landscaping
1,Jewson,8,N6 4JD,,Lintels
1,Jewson,8,N6 4JD,,Metal Stud
1,Jewson,8,N6 4JD,,Metalwork
1,Jewson,8,N6 4JD,,Panel Products
1,Jewson,8,N6 4JD,,Paving
1,Jewson,8,N6 4JD,,Plaster
